,year,month,Vessel Type,Country,CO2eq,Vessel
0,2009,1,Cargo,Cook Islands,5762.0,23
1,2009,1,Cargo,Fiji,4756.0,22
2,2009,1,Cargo,Kiribati,8441.0,58
3,2009,1,Cargo,Marshall Islands,4713.0,39
4,2009,1,Cargo,Micronesia,71055.0,343
5,2009,1,Cargo,Nauru,284.0,4
6,2009,1,Cargo,Niue,948.0,8
7,2009,1,Cargo,Palau,14188.0,122
8,2009,1,Cargo,Papua New Guinea,172276.0,521
9,2009,1,Cargo,Samoa,1220.0,7
10,2009,1,Cargo,Solomon Islands,6930.0,62
11,2009,1,Cargo,Tokelau,504.0,5
12,2009,1,Cargo,Tonga,790.0,8
13,2009,1,Cargo,Tuvalu,516.0,8
14,2009,1,Cargo,Vanuatu,2143.0,24
15,2009,1,Fishing,Fiji,15.0,1
16,2009,1,Fishing,Kiribati,1013.0,15
17,2009,1,Fishing,Marshall Islands,558.0,7
18,2009,1,Fishing,Micronesia,983.0,17
19,2009,1,Fishing,Nauru,106.0,3
20,2009,1,Fishing,Palau,11.0,1
21,2009,1,Fishing,Papua New Guinea,2086.0,19
22,2009,1,Fishing,Solomon Islands,542.0,16
23,2009,1,Fishing,Tuvalu,10.0,1
24,2009,1,Fishing,Vanuatu,22.0,1
25,2009,1,Others,Cook Islands,267.0,12
26,2009,1,Others,Fiji,567.0,9
27,2009,1,Others,Kiribati,1058.0,17
28,2009,1,Others,Marshall Islands,1264.0,29
29,2009,1,Others,Micronesia,3401.0,91
30,2009,1,Others,Nauru,34.0,2
31,2009,1,Others,Palau,822.0,27
32,2009,1,Others,Papua New Guinea,6571.0,131
33,2009,1,Others,Samoa,66.0,4
34,2009,1,Others,Solomon Islands,937.0,32
35,2009,1,Others,Tokelau,32.0,2
36,2009,1,Others,Tonga,429.0,3
37,2009,1,Others,Tuvalu,69.0,4
38,2009,1,Others,Vanuatu,190.0,10
39,2009,1,Passenger,Cook Islands,752.0,5
40,2009,1,Passenger,Fiji,2031.0,3
41,2009,1,Passenger,Kiribati,1381.0,2
42,2009,1,Passenger,Marshall Islands,153.0,2
43,2009,1,Passenger,Micronesia,924.0,3
44,2009,1,Passenger,Niue,238.0,2
45,2009,1,Passenger,Palau,242.0,1
46,2009,1,Passenger,Papua New Guinea,1427.0,7
47,2009,1,Passenger,Solomon Islands,812.0,2
48,2009,1,Passenger,Tonga,0.0,1
49,2009,1,Passenger,Vanuatu,5026.0,5
50,2009,1,Tanker,Cook Islands,1194.0,9
51,2009,1,Tanker,Fiji,2423.0,10
52,2009,1,Tanker,Kiribati,879.0,12
53,2009,1,Tanker,Marshall Islands,2242.0,13
54,2009,1,Tanker,Micronesia,7704.0,40
55,2009,1,Tanker,Nauru,119.0,4
56,2009,1,Tanker,Niue,402.0,5
57,2009,1,Tanker,Palau,2593.0,21
58,2009,1,Tanker,Papua New Guinea,17271.0,76
59,2009,1,Tanker,Solomon Islands,1476.0,11
60,2009,1,Tanker,Tokelau,120.0,1
61,2009,1,Tanker,Tonga,643.0,5
62,2009,1,Tanker,Tuvalu,17.0,1
63,2009,1,Tanker,Vanuatu,990.0,7
64,2009,2,Cargo,Cook Islands,5203.0,28
65,2009,2,Cargo,Fiji,3921.0,21
66,2009,2,Cargo,Kiribati,7827.0,51
67,2009,2,Cargo,Marshall Islands,3422.0,30
68,2009,2,Cargo,Micronesia,60657.0,327
69,2009,2,Cargo,Nauru,338.0,5
70,2009,2,Cargo,Niue,929.0,11
71,2009,2,Cargo,Palau,12487.0,108
72,2009,2,Cargo,Papua New Guinea,149575.0,469
73,2009,2,Cargo,Samoa,145.0,4
74,2009,2,Cargo,Solomon Islands,7800.0,68
75,2009,2,Cargo,Tokelau,533.0,5
76,2009,2,Cargo,Tonga,1480.0,13
77,2009,2,Cargo,Tuvalu,110.0,2
78,2009,2,Cargo,Vanuatu,2605.0,21
79,2009,2,Fishing,Cook Islands,19.0,1
80,2009,2,Fishing,Fiji,34.0,1
81,2009,2,Fishing,Kiribati,637.0,11
82,2009,2,Fishing,Marshall Islands,211.0,6
83,2009,2,Fishing,Micronesia,994.0,15
84,2009,2,Fishing,Nauru,78.0,1
85,2009,2,Fishing,Niue,11.0,1
86,2009,2,Fishing,Palau,44.0,4
87,2009,2,Fishing,Papua New Guinea,1695.0,14
88,2009,2,Fishing,Solomon Islands,911.0,13
89,2009,2,Fishing,Tonga,16.0,1
90,2009,2,Fishing,Tuvalu,81.0,3
91,2009,2,Fishing,Vanuatu,33.0,1
92,2009,2,Others,Fiji,63.0,1
93,2009,2,Others,Kiribati,50.0,2
94,2009,2,Others,Marshall Islands,293.0,4
95,2009,2,Others,Micronesia,625.0,7
96,2009,2,Others,Nauru,51.0,1
97,2009,2,Others,Palau,468.0,4
98,2009,2,Others,Papua New Guinea,941.0,7
99,2009,2,Others,Solomon Islands,137.0,2
100,2009,2,Others,Tonga,275.0,1
101,2009,2,Others,Tuvalu,107.0,1
102,2009,2,Others,Vanuatu,202.0,2
