year,month,Country,Gear Type,total_hours
2012,1,Kiribati,Drifting longlines,6112.4
2012,1,Kiribati,Others,785.8
2012,1,Kiribati,Set longlines,1032.1
2012,1,Kiribati,Tuna purse seines,2628.9
2012,1,Marshall Islands,Drifting longlines,1093.1
2012,1,Marshall Islands,Others,650.4
2012,1,Marshall Islands,Tuna purse seines,141.9
2012,1,Micronesia,Drifting longlines,217.2
2012,1,Micronesia,Others,370.8
2012,1,Micronesia,Tuna purse seines,32.1
2012,1,Nauru,Tuna purse seines,118.4
2012,1,Papua New Guinea,Tuna purse seines,645.2
2012,1,Samoa,Tuna purse seines,3.9
2012,1,Solomon Islands,Others,4.2
2012,1,Solomon Islands,Tuna purse seines,387.1
2012,1,Tokelau,Others,4.9
2012,1,Tokelau,Tuna purse seines,29.1
2012,1,Tuvalu,Others,8.5
2012,1,Tuvalu,Tuna purse seines,77
2012,2,Kiribati,Drifting longlines,7889.4
2012,2,Kiribati,Others,626.7
2012,2,Kiribati,Set longlines,1613.6
2012,2,Kiribati,Tuna purse seines,1714.6
2012,2,Marshall Islands,Drifting longlines,546.8
2012,2,Marshall Islands,Others,48.2
2012,2,Marshall Islands,Tuna purse seines,36.4
2012,2,Micronesia,Drifting longlines,322.6
2012,2,Micronesia,Others,509.4
2012,2,Micronesia,Tuna purse seines,695.6
2012,2,Nauru,Tuna purse seines,343.9
2012,2,Papua New Guinea,Drifting longlines,198.2
2012,2,Papua New Guinea,Others,108.2
2012,2,Papua New Guinea,Tuna purse seines,2188.2
2012,2,Solomon Islands,Drifting longlines,387.6
2012,2,Solomon Islands,Others,31.8
2012,2,Solomon Islands,Tuna purse seines,313.3
2012,2,Tokelau,Tuna purse seines,268.8
2012,2,Tuvalu,Drifting longlines,11.9
2012,2,Tuvalu,Others,30.1
2012,2,Tuvalu,Tuna purse seines,184.8
2012,2,Vanuatu,Others,13.2
2012,3,Kiribati,Drifting longlines,7907.4
2012,3,Kiribati,Others,17.5
2012,3,Kiribati,Set longlines,781.6
2012,3,Kiribati,Tuna purse seines,193.1
2012,3,Marshall Islands,Drifting longlines,263.4
2012,3,Marshall Islands,Tuna purse seines,104
2012,3,Micronesia,Drifting longlines,98
2012,3,Micronesia,Others,212.3
2012,3,Micronesia,Tuna purse seines,329.6
2012,3,Nauru,Tuna purse seines,265.9
2012,3,Papua New Guinea,Drifting longlines,36.5
2012,3,Papua New Guinea,Others,2.7
2012,3,Papua New Guinea,Tuna purse seines,543.8
2012,3,Solomon Islands,Drifting longlines,264.6
2012,3,Solomon Islands,Others,236.4
2012,3,Solomon Islands,Set longlines,25.3
2012,3,Solomon Islands,Tuna purse seines,249.5
2012,3,Tokelau,Tuna purse seines,127.9
2012,3,Tuvalu,Drifting longlines,700.8
2012,3,Tuvalu,Tuna purse seines,37.6
2012,4,Kiribati,Drifting longlines,19938.4
2012,4,Kiribati,Others,68.1
2012,4,Kiribati,Set longlines,1086.2
2012,4,Kiribati,Tuna purse seines,791.3
2012,4,Marshall Islands,Drifting longlines,656.2
2012,4,Marshall Islands,Others,5.6
2012,4,Marshall Islands,Tuna purse seines,19.1
2012,4,Micronesia,Others,628.6
2012,4,Micronesia,Tuna purse seines,64.9
2012,4,Nauru,Tuna purse seines,361.9
2012,4,Papua New Guinea,Drifting longlines,10.1
2012,4,Papua New Guinea,Tuna purse seines,183.7
2012,4,Solomon Islands,Drifting longlines,730.3
2012,4,Solomon Islands,Others,464.6
2012,4,Solomon Islands,Set longlines,238.5
2012,4,Solomon Islands,Tuna purse seines,379.1
2012,4,Tokelau,Tuna purse seines,6.5
2012,4,Tuvalu,Drifting longlines,1272.1
2012,4,Tuvalu,Set longlines,465.2
2012,4,Tuvalu,Tuna purse seines,154
2012,5,Kiribati,Drifting longlines,24176.3
2012,5,Kiribati,Others,512
2012,5,Kiribati,Set longlines,1626.7
2012,5,Kiribati,Tuna purse seines,522.5
2012,5,Marshall Islands,Drifting longlines,206.3
2012,5,Marshall Islands,Tuna purse seines,14.6
2012,5,Micronesia,Others,301.1
2012,5,Micronesia,Tuna purse seines,81.2
2012,5,Papua New Guinea,Others,11.1
2012,5,Papua New Guinea,Tuna purse seines,62.9
2012,5,Solomon Islands,Drifting longlines,3002.2
2012,5,Solomon Islands,Others,636
2012,5,Solomon Islands,Tuna purse seines,152.5
2012,5,Tokelau,Tuna purse seines,3.6
2012,5,Tuvalu,Drifting longlines,2423.8
2012,5,Tuvalu,Set longlines,931.5
2012,5,Tuvalu,Tuna purse seines,112.8
2012,6,Kiribati,Drifting longlines,13165.8
2012,6,Kiribati,Others,373.8
2012,6,Kiribati,Set longlines,1648.5
2012,6,Kiribati,Tuna purse seines,474.1
2012,6,Marshall Islands,Drifting longlines,143.7
2012,6,Micronesia,Others,279.5
2012,6,Micronesia,Tuna purse seines,2.3
2012,6,Nauru,Tuna purse seines,1.9
2012,6,Papua New Guinea,Others,3.3
2012,6,Papua New Guinea,Tuna purse seines,13.8
2012,6,Solomon Islands,Drifting longlines,5157.5
2012,6,Solomon Islands,Others,637.6
2012,6,Solomon Islands,Set longlines,320.3
2012,6,Tokelau,Tuna purse seines,3.7
2012,6,Tuvalu,Drifting longlines,3765.8
2012,6,Tuvalu,Others,63.8
2012,6,Tuvalu,Set longlines,452.5
2012,6,Tuvalu,Tuna purse seines,5.7
2012,7,Kiribati,Drifting longlines,19505.2
2012,7,Kiribati,Others,423.5
2012,7,Kiribati,Set longlines,2630.3
2012,7,Kiribati,Tuna purse seines,36.3
2012,7,Marshall Islands,Drifting longlines,553.8
2012,7,Marshall Islands,Others,1.7
2012,7,Marshall Islands,Tuna purse seines,76.3
2012,7,Micronesia,Tuna purse seines,18.5
2012,7,Nauru,Drifting longlines,714.5
2012,7,Papua New Guinea,Drifting longlines,1.8
2012,7,Papua New Guinea,Tuna purse seines,5.3
2012,7,Solomon Islands,Drifting longlines,5730.6
2012,7,Solomon Islands,Others,695.7
2012,7,Solomon Islands,Set longlines,166.8
2012,7,Tuvalu,Drifting longlines,2280.4
2012,7,Tuvalu,Others,159.3
