year,month,Country,BC,SOX,CO2,NOx,PM2.5,PM10,NMVOC,N2O,CO,CH4
2009,1,Cook Islands,0.62,120.48,7746.41,432.69,19.41,21.09,16.32,0.81,7.86,0.26
2009,1,Fiji,0.85,144.33,9519.95,480.14,22.69,24.66,18.89,0.96,9.36,0.31
2009,1,Kiribati,1.19,168.37,12409.32,667.41,27.89,30.32,25.88,1.29,12.29,0.42
2009,1,Marshall Islands,0.96,117.6,8676.66,463.44,19.37,21.05,17.89,0.9,8.58,0.29
2009,1,Micronesia,5.96,1266.65,81631.29,4704.5,205.33,223.18,176.1,8.65,83.2,2.82
2009,1,Nauru,0.05,6.09,528.61,28.29,1.06,1.15,1.12,0.05,0.51,0.02
2009,1,Niue,0.12,24.82,1543.01,85.91,3.94,4.28,3.24,0.16,1.55,0.05
2009,1,Palau,1.1,261.05,17331.44,947.27,42.03,45.68,36.01,1.79,17.26,1.32
2009,1,Papua New Guinea,13.23,3037.95,193852.87,11165.23,490.21,532.83,417.91,20.5,197.44,6.69
2009,1,Samoa,0.08,19.37,1248.24,71.59,3.15,3.43,2.71,0.13,1.28,0.04
2009,1,Solomon Islands,1.12,140.51,10397.74,535.87,22.96,24.96,21.3,1.07,10.12,0.35
2009,1,Tokelau,0.04,9.91,637.38,35.64,1.6,1.74,1.35,0.07,0.65,0.02
2009,1,Tonga,0.19,22.7,1810.97,91.37,3.76,4.09,3.66,0.18,1.76,0.06
2009,1,Tuvalu,0.04,8.23,594.75,31.63,1.38,1.5,1.26,0.06,0.59,0.02
2009,1,Vanuatu,0.94,129.8,8154.17,346.41,19.09,20.75,14.12,0.77,7.72,0.24
2009,2,Cook Islands,0.89,102.62,6450.92,358.49,16.35,17.77,13.55,0.68,6.47,0.22
2009,2,Fiji,0.9,139.56,8676.76,403.26,21.11,22.94,16.04,0.86,8.4,0.27
2009,2,Kiribati,0.75,133.67,8969.18,497.03,21.69,23.57,18.95,0.94,8.95,0.31
2009,2,Marshall Islands,0.43,67.74,4513.65,245.58,10.82,11.76,9.43,0.47,4.49,0.15
2009,2,Micronesia,4.15,1042.22,65046.33,3773.66,166.94,181.45,140.43,6.89,66.25,2.24
2009,2,Nauru,0.04,6.48,528.58,28.13,1.06,1.15,1.08,0.05,0.5,0.02
2009,2,Niue,0.12,25.03,1561.4,83.03,3.99,4.34,3.25,0.17,1.58,0.05
2009,2,Palau,1.16,229.87,14218.21,813.09,36.57,39.75,30.32,1.49,14.47,0.49
2009,2,Papua New Guinea,13.82,2747.58,171241.05,9801.1,439.5,477.72,366.67,18.09,174.44,5.88
2009,2,Samoa,0.12,13.31,815.42,36.58,1.99,2.16,1.48,0.08,0.79,0.03
2009,2,Solomon Islands,1.07,167.89,11181.87,604,26.77,29.1,23.36,1.16,11.12,0.38
2009,2,Tokelau,0.22,24.8,1532.08,67.07,3.82,4.15,2.87,0.16,1.52,0.05
2009,2,Tonga,0.86,118.87,7580.12,303.47,18.02,19.58,13.84,0.74,7.36,0.24
2009,2,Tuvalu,0.4,12.64,918.87,47.05,2.04,2.22,1.84,0.09,0.87,0.03
2009,2,Vanuatu,0.57,84.79,5275.72,240.83,12.65,13.75,9.67,0.52,5.06,0.16
2009,3,Cook Islands,0.56,142.8,9013.74,509.38,22.88,24.87,19.09,0.95,9.17,0.31
2009,3,Fiji,0.97,157.27,10493.91,508.54,24.46,26.58,19.97,1.05,10.17,0.33
2009,3,Kiribati,1.48,136.69,11315.91,596.47,23.46,25.5,23.43,1.16,11.11,0.38
2009,3,Marshall Islands,0.48,72.42,5701.54,305.32,12.16,13.22,11.78,0.59,5.57,0.19
2009,3,Micronesia,6.21,1320.94,84351.68,4779.65,212.96,231.48,180.89,8.9,85.75,2.9
2009,3,Nauru,0.24,11.36,947.72,50.37,1.95,2.12,1.96,0.1,0.92,0.03
2009,3,Niue,0.11,26.68,1655.39,92.9,4.26,4.63,3.49,0.17,1.68,0.06
2009,3,Palau,1.13,284.59,17985.47,1031.13,45.81,49.79,38.55,1.9,18.37,0.62
2009,3,Papua New Guinea,14.72,3301.35,208471.47,11994.89,532.04,578.3,449.68,22.07,213.08,7.2
2009,3,Samoa,0.15,19.27,1310.52,62.83,3.06,3.33,2.58,0.13,1.29,0.04
2009,3,Solomon Islands,1.43,192.46,14140.14,754.49,31.98,34.76,29.8,1.47,14.17,0.48
2009,3,Tokelau,0.09,18.67,1176.34,60.13,2.88,3.13,2.3,0.12,1.15,0.04
2009,3,Tonga,0.24,49.81,3247.69,156.91,7.72,8.39,6.18,0.33,3.16,0.1
2009,3,Tuvalu,0.2,20.24,1515.05,77.83,3.29,3.58,3.09,0.15,1.44,0.05
2009,3,Vanuatu,0.48,85.07,5467.6,267.58,13.14,14.29,10.53,0.55,5.37,0.17
2009,4,Cook Islands,0.68,116.29,7292.11,377.73,17.09,18.58,14.64,0.75,7.1,0.24
2009,4,Fiji,0.77,99.1,6809.12,344.76,15.81,17.18,13.68,0.69,6.67,0.22
2009,4,Kiribati,1.11,166.12,11618.16,553.3,22.18,24.11,21.37,1.14,10.15,0.35
2009,4,Marshall Islands,0.58,80.73,5821.84,307.92,13.23,14.38,12.05,0.6,5.76,0.2
2009,4,Micronesia,4.99,1138.15,74058.99,4262.12,184.79,200.86,159.9,7.84,75.2,2.56
2009,4,Nauru,0.08,6.37,753.73,36.35,1.21,1.32,1.49,0.08,0.71,0.02
2009,4,Niue,0.07,16.65,1050.44,56.08,2.64,2.87,2.14,0.11,1.06,0.03
2009,4,Palau,1.41,279.78,17471.69,987.49,44.71,48.59,37.26,1.84,17.8,0.6
2009,4,Papua New Guinea,13.41,3089.68,194184.58,11250.24,498.72,542.09,420.61,20.63,199.01,6.72
2009,4,Samoa,0.13,8.17,598.92,30.44,1.34,1.45,1.21,0.06,0.59,0.02
2009,4,Solomon Islands,1.26,184.66,13416.64,720.43,30.6,33.27,28.32,1.4,13.44,0.46
2009,4,Tokelau,0.01,1.42,96.33,5.58,0.24,0.26,0.21,0.01,0.1,0
2009,4,Tonga,0.13,25.11,1736.05,88.98,4.08,4.44,3.53,0.18,1.74,0.06
2009,4,Tuvalu,0.13,1.17,568.43,23.47,0.44,0.48,1.1,0.05,0.48,0.02
2009,4,Vanuatu,0.99,123.63,7858.59,356.42,18.5,20.11,14.22,0.76,7.58,0.24
2009,5,Cook Islands,0.39,97.22,6114.35,342.47,15.56,16.92,12.83,0.64,6.24,0.21
2009,5,Fiji,0.94,137.7,9051.98,463.4,21.8,23.69,18.54,0.93,8.93,0.3
2009,5,Kiribati,0.94,86.43,7484.2,385.4,15.2,16.52,15.55,0.78,7.38,0.26
2009,5,Marshall Islands,0.36,60.43,4270.58,235.44,10.02,10.89,9.06,0.45,4.31,0.15
2009,5,Micronesia,4.4,1125.47,71185.35,4138.86,182.47,198.34,155.15,7.6,73.06,2.48
2009,5,Nauru,0.14,12.16,1047.65,48.72,2.08,2.26,2.13,0.11,1,0.04
2009,5,Niue,0.1,24.19,1574.03,86.47,3.89,4.23,3.27,0.16,1.6,0.05
2009,5,Palau,1.22,278.43,17436.02,996.54,44.76,48.65,37.32,1.84,17.77,0.6
2009,5,Papua New Guinea,14.88,3135.37,195549.24,11338.72,504.85,548.75,423.92,20.78,200.58,6.77
2009,5,Samoa,0.06,11.84,751.4,38.95,1.88,2.05,1.59,0.08,0.76,0.03
2009,5,Solomon Islands,1.22,198.36,14060.1,755.72,32.74,35.59,29.83,1.47,14.17,0.48
2009,5,Tokelau,0.02,4.69,307.37,17.23,0.79,0.86,0.68,0.03,0.32,0.01
2009,5,Tonga,0.24,48.46,3164.71,165.05,7.66,8.33,6.45,0.32,3.15,0.1
2009,5,Tuvalu,0.08,5.28,677.93,32.33,1.01,1.09,1.36,0.07,0.61,0.02
2009,5,Vanuatu,0.71,101.6,6618.85,306.52,15.48,16.82,12.29,0.65,6.4,0.21
2009,6,Cook Islands,0.75,135.02,8602.73,439.22,21.2,23.05,17.1,0.88,8.63,0.28
2009,6,Fiji,1.06,124.27,8342.39,399.91,19.37,21.06,16,0.83,8.08,0.27
2009,6,Kiribati,1.33,127.2,10520.15,544.02,21.56,23.43,21.5,1.07,10.26,0.35
2009,6,Marshall Islands,0.5,56.03,4214.88,211.42,9.3,10.11,8.63,0.44,4.15,0.14
2009,6,Micronesia,5.85,1310.7,83038.8,4814.18,212.56,231.04,180.73,8.86,85.12,2.89
2009,6,Nauru,0.09,7.53,720.96,33.65,1.27,1.38,1.38,0.07,0.65,0.02
2009,6,Niue,0.15,36.8,2331.58,119.45,5.78,6.28,4.61,0.24,2.33,0.08
2009,6,Palau,1.48,324.89,20206.71,1146.66,51.97,56.49,43.35,2.13,20.63,0.7
2009,6,Papua New Guinea,16.54,3418.95,212611.24,12408.42,550.29,598.14,461.79,22.6,218.13,7.37
2009,6,Samoa,0.3,20.26,1292.76,58.72,3.05,3.32,2.44,0.13,1.26,0.04
2009,6,Solomon Islands,1.16,179.22,12782.11,686.79,29.79,32.38,27.38,1.34,12.93,0.44
2009,6,Tokelau,0.02,4.35,285.44,16.58,0.72,0.78,0.62,0.03,0.3,0.01
2009,6,Tonga,0.38,60.26,3917.15,195.67,9.42,10.24,7.68,0.39,3.87,0.13
2009,6,Tuvalu,0.53,19.61,2908.27,133.68,4.11,4.46,5.85,0.29,2.74,0.1
2009,6,Vanuatu,0.38,69.95,4839.61,260.23,11.57,12.58,10.21,0.51,4.93,0.17
2009,7,Cook Islands,0.36,90.7,5744.68,319.97,14.52,15.79,12.02,0.6,5.85,0.19
2009,7,Fiji,1.08,110.07,7419.02,386.8,17.53,19.05,15.12,0.76,7.31,0.25
2009,7,Kiribati,1.12,135.06,10885.49,571.34,22.92,24.91,22.5,1.12,10.73,0.37
2009,7,Marshall Islands,0.85,66.13,4893.45,253.74,10.93,11.88,10.07,0.51,4.86,0.16
2009,7,Micronesia,5.98,1271.95,80224.23,4650.56,205.48,223.35,174.31,8.53,82.08,2.79
2009,7,Nauru,0.06,7.34,588.82,27.28,1.17,1.28,1.16,0.06,0.54,0.02
2009,7,Niue,0.08,22.61,1444.35,81.86,3.69,4.01,3.09,0.15,1.49,0.05
2009,7,Palau,1.62,293.5,18604.07,1063.18,47.28,51.39,39.69,1.96,18.79,0.65
2009,7,Papua New Guinea,15.08,3459.98,215706.4,12557,555.94,604.28,467.07,22.88,220.86,7.46
2009,7,Samoa,0.2,15.24,996.52,51.29,2.4,2.61,2.03,0.1,0.99,0.03
2009,7,Solomon Islands,1.09,179.3,12716.04,700.13,29.65,32.23,27.28,1.33,12.86,0.44
