year,month,Country,Port,Vessel Category,Trade Flow,Trade Vol ,,,,
2019,1,"Fiji, Lautoka Harbor", Lautoka Harbor,Bulk Carrier,Imports,24182.7,,,,
2019,1,"Fiji, Lautoka Harbor", Lautoka Harbor,Container,Exports,8641.9,,,,
2019,1,"Fiji, Lautoka Harbor", Lautoka Harbor,Container,Imports,6668.7,,,,
2019,1,"Fiji, Lautoka Harbor", Lautoka Harbor,General Cargo,Exports,5.6,,,,
2019,1,"Fiji, Lautoka Harbor", Lautoka Harbor,General Cargo,Imports,3775.5,,,,
2019,1,"Fiji, Lautoka Harbor", Lautoka Harbor,Tanker,Exports,2590.5,,,,
2019,1,"Fiji, Lautoka Harbor", Lautoka Harbor,Tanker,Imports,37907.7,,,,
2019,1,"Fiji, Malai", Malai,General Cargo,Imports,11,,,,
2019,1,"Fiji, Malai", Malai,Tanker,Exports,1367.9,,,,
2019,1,"Fiji, Malai", Malai,Tanker,Imports,656,,,,
2019,1,"Fiji, Nabouwalu Jetty", Nabouwalu Jetty,Bulk Carrier,Exports,15421.8,,,,
2019,1,"Fiji, Suva Harbor", Suva Harbor,Container,Exports,4954,,,,
2019,1,"Fiji, Suva Harbor", Suva Harbor,Container,Imports,18815.3,,,,
2019,1,"Fiji, Suva Harbor", Suva Harbor,General Cargo,Exports,1863.8,,,,
2019,1,"Fiji, Suva Harbor", Suva Harbor,General Cargo,Imports,5899.2,,,,
2019,1,"Fiji, Suva Harbor", Suva Harbor,Tanker,Exports,702.5,,,,
2019,1,"Fiji, Suva Harbor", Suva Harbor,Tanker,Imports,10453.1,,,,
2019,1,"Kiribati, Kiribati", Kiribati,General Cargo,Exports,11353.4,,,,
2019,1,"Kiribati, Kiribati", Kiribati,General Cargo,Imports,447.5,,,,
2019,1,"Kiribati, Tarawa Atoll", Tarawa Atoll,Container,Imports,4828.4,,,,
2019,1,"Kiribati, Tarawa Atoll", Tarawa Atoll,General Cargo,Exports,1148.2,,,,
2019,1,"Kiribati, Tarawa Atoll", Tarawa Atoll,Tanker,Imports,955.8,,,,
2019,1,"Marshall Islands, Ebeye", Ebeye,Container,Imports,572.6,,,,
2019,1,"Marshall Islands, Ebeye", Ebeye,General Cargo,Imports,302.8,,,,
2019,1,"Marshall Islands, Kwajalein", Kwajalein,Container,Imports,1029.9,,,,
2019,1,"Marshall Islands, Kwajalein", Kwajalein,General Cargo,Imports,865.9,,,,
2019,1,"Marshall Islands, Majuro Atoll", Majuro Atoll,Container,Imports,11621.9,,,,
2019,1,"Marshall Islands, Majuro Atoll", Majuro Atoll,General Cargo,Exports,12820.4,,,,
2019,1,"Marshall Islands, Majuro Atoll", Majuro Atoll,General Cargo,Imports,413.2,,,,
2019,1,"Marshall Islands, Majuro Atoll", Majuro Atoll,Tanker,Exports,1521,,,,
2019,1,"Micronesia, Colonia", Colonia,Container,Exports,298.3,,,,
2019,1,"Micronesia, Colonia", Colonia,General Cargo,Exports,15.2,,,,
2019,1,"Micronesia, Colonia", Colonia,General Cargo,Imports,1059.5,,,,
2019,1,"Micronesia, Lele Harbor", Lele Harbor,General Cargo,Imports,253.6,,,,
2019,1,"Micronesia, Moen", Moen,General Cargo,Exports,15.2,,,,
2019,1,"Micronesia, Moen", Moen,General Cargo,Imports,2042.3,,,,
2019,1,"Micronesia, Pornpei Harbor", Pornpei Harbor,Container,Imports,1470.9,,,,
2019,1,"Micronesia, Pornpei Harbor", Pornpei Harbor,General Cargo,Imports,713.9,,,,
2019,1,"Nauru, Nauru", Nauru,Bulk Carrier,Exports,27699.7,,,,
2019,1,"Nauru, Nauru", Nauru,General Cargo,Imports,3426.9,,,,
2019,1,"Nauru, Nauru", Nauru,Tanker,Exports,206.6,,,,
2019,1,"Palau, Malakal Harbor", Malakal Harbor,Container,Imports,3998.1,,,,
2019,1,"Palau, Malakal Harbor", Malakal Harbor,General Cargo,Exports,785.5,,,,
2019,1,"Palau, Malakal Harbor", Malakal Harbor,General Cargo,Imports,1202.5,,,,
2019,1,"Papua New Guinea, Alotoa", Alotoa,Container,Imports,1404.7,,,,
2019,1,"Papua New Guinea, Alotoa", Alotoa,General Cargo,Imports,834.1,,,,
2019,1,"Papua New Guinea, Alotoa", Alotoa,Tanker,Exports,80.1,,,,
2019,1,"Papua New Guinea, Alotoa", Alotoa,Tanker,Imports,452.5,,,,
2019,1,"Papua New Guinea, Buka", Buka,Container,Imports,381.3,,,,
2019,1,"Papua New Guinea, Buka", Buka,General Cargo,Exports,212.2,,,,
2019,1,"Papua New Guinea, Buka", Buka,General Cargo,Imports,266.9,,,,
2019,1,"Papua New Guinea, Daru", Daru,Bulk Carrier,Exports,7726.8,,,,
2019,1,"Papua New Guinea, Daru", Daru,General Cargo,Exports,5852.5,,,,
2019,1,"Papua New Guinea, Kavieng Harbor", Kavieng Harbor,Bulk Carrier,Exports,27177.4,,,,
2019,1,"Papua New Guinea, Kavieng Harbor", Kavieng Harbor,Bulk Carrier,Imports,1157.4,,,,
2019,1,"Papua New Guinea, Kavieng Harbor", Kavieng Harbor,Container,Imports,1522.8,,,,
