year,Vessel Type,Country,CO2eq
2009,Cargo,Cook Islands,69809
2009,Cargo,Fiji,50623
2009,Cargo,Kiribati,82676
2009,Cargo,Marshall Islands,39753
2009,Cargo,Micronesia,843346
2009,Cargo,Nauru,6246
2009,Cargo,Niue,13772
2009,Cargo,Palau,191507
2009,Cargo,Papua New Guinea,2192164
2009,Cargo,Samoa,5567
2009,Cargo,Solomon Islands,106859
2009,Cargo,Tokelau,4582
2009,Cargo,Tonga,20516
2009,Cargo,Tuvalu,5436
2009,Cargo,Vanuatu,32540
2009,Fishing,Cook Islands,212
2009,Fishing,Fiji,166
2009,Fishing,Kiribati,25018
2009,Fishing,Marshall Islands,4644
2009,Fishing,Micronesia,16218
2009,Fishing,Nauru,1438
2009,Fishing,Niue,30
2009,Fishing,Palau,167
2009,Fishing,Papua New Guinea,9867
2009,Fishing,Samoa,47
2009,Fishing,Solomon Islands,10137
2009,Fishing,Tokelau,13
2009,Fishing,Tonga,61
2009,Fishing,Tuvalu,4227
2009,Fishing,Vanuatu,116
2009,Others,Cook Islands,2615
2009,Others,Fiji,5924
2009,Others,Kiribati,16007
2009,Others,Marshall Islands,7703
2009,Others,Micronesia,24924
2009,Others,Nauru,1337
2009,Others,Niue,454
2009,Others,Palau,6406
2009,Others,Papua New Guinea,35677
2009,Others,Samoa,1321
2009,Others,Solomon Islands,8863
2009,Others,Tokelau,227
2009,Others,Tonga,3242
2009,Others,Tuvalu,3819
2009,Others,Vanuatu,3137
2009,Passenger,Cook Islands,9423
2009,Passenger,Fiji,25835
2009,Passenger,Kiribati,14292
2009,Passenger,Marshall Islands,179
2009,Passenger,Micronesia,6313
2009,Passenger,Nauru,16
2009,Passenger,Niue,2418
2009,Passenger,Palau,823
2009,Passenger,Papua New Guinea,19299
2009,Passenger,Samoa,2205
2009,Passenger,Solomon Islands,2258
2009,Passenger,Tokelau,1277
2009,Passenger,Tonga,11119
2009,Passenger,Tuvalu,216
2009,Passenger,Vanuatu,27735
2009,Tanker,Cook Islands,7039
2009,Tanker,Fiji,23589
2009,Tanker,Kiribati,12885
2009,Tanker,Marshall Islands,13958
2009,Tanker,Micronesia,67056
2009,Tanker,Nauru,1653
2009,Tanker,Niue,2222
2009,Tanker,Palau,19863
2009,Tanker,Papua New Guinea,209362
2009,Tanker,Samoa,1609
2009,Tanker,Solomon Islands,22963
2009,Tanker,Tokelau,428
2009,Tanker,Tonga,6636
2009,Tanker,Tuvalu,1877
2009,Tanker,Vanuatu,9718
2010,Cargo,Cook Islands,83090
2010,Cargo,Fiji,66964
2010,Cargo,Kiribati,102992
2010,Cargo,Marshall Islands,55535
2010,Cargo,Micronesia,1011803
2010,Cargo,Nauru,8309
2010,Cargo,Niue,17811
2010,Cargo,Palau,197865
2010,Cargo,Papua New Guinea,2466953
2010,Cargo,Samoa,5328
2010,Cargo,Solomon Islands,130122
2010,Cargo,Tokelau,5270
2010,Cargo,Tonga,21133
2010,Cargo,Tuvalu,8788
2010,Cargo,Vanuatu,44657
2010,Fishing,Cook Islands,534
2010,Fishing,Fiji,911
2010,Fishing,Kiribati,39941
2010,Fishing,Marshall Islands,6536
2010,Fishing,Micronesia,22698
2010,Fishing,Nauru,4800
2010,Fishing,Niue,56
2010,Fishing,Palau,594
2010,Fishing,Papua New Guinea,28459
2010,Fishing,Samoa,49
2010,Fishing,Solomon Islands,20819
2010,Fishing,Tokelau,547
2010,Fishing,Tonga,117
2010,Fishing,Tuvalu,9042
2010,Fishing,Vanuatu,127
2010,Others,Cook Islands,3624
2010,Others,Fiji,7399
2010,Others,Kiribati,13897
2010,Others,Marshall Islands,3574
2010,Others,Micronesia,17017
2010,Others,Nauru,2429
2010,Others,Niue,807
2010,Others,Palau,4884
2010,Others,Papua New Guinea,18362
2010,Others,Samoa,618
2010,Others,Solomon Islands,5447
2010,Others,Tokelau,2008
2010,Others,Tonga,4352
2010,Others,Tuvalu,3736
2010,Others,Vanuatu,1840
2010,Passenger,Cook Islands,12400
2010,Passenger,Fiji,31579
2010,Passenger,Kiribati,15985
2010,Passenger,Marshall Islands,27
2010,Passenger,Micronesia,3801
2010,Passenger,Nauru,16
2010,Passenger,Niue,1131
2010,Passenger,Palau,639
2010,Passenger,Papua New Guinea,16133
2010,Passenger,Samoa,3900
2010,Passenger,Solomon Islands,1209
2010,Passenger,Tokelau,1864
2010,Passenger,Tonga,9225
2010,Passenger,Tuvalu,294
2010,Passenger,Vanuatu,34911
2010,Tanker,Cook Islands,8465
2010,Tanker,Fiji,28477
2010,Tanker,Kiribati,18625
2010,Tanker,Marshall Islands,22155
2010,Tanker,Micronesia,83826
2010,Tanker,Nauru,1675
2010,Tanker,Niue,3730
2010,Tanker,Palau,31534
2010,Tanker,Papua New Guinea,215672
2010,Tanker,Samoa,2419
2010,Tanker,Solomon Islands,28865
2010,Tanker,Tokelau,401
2010,Tanker,Tonga,8921
2010,Tanker,Tuvalu,1811
2010,Tanker,Vanuatu,11547
2011,Cargo,Cook Islands,95049
2011,Cargo,Fiji,78437
2011,Cargo,Kiribati,126472
2011,Cargo,Marshall Islands,67109
2011,Cargo,Micronesia,1440548
2011,Cargo,Nauru,6847
2011,Cargo,Niue,20768
2011,Cargo,Palau,349855
2011,Cargo,Papua New Guinea,3583784
2011,Cargo,Samoa,5564
2011,Cargo,Solomon Islands,177581
2011,Cargo,Tokelau,8896
2011,Cargo,Tonga,25914
2011,Cargo,Tuvalu,13296
2011,Cargo,Vanuatu,44077
2011,Fishing,Cook Islands,370
2011,Fishing,Fiji,964
2011,Fishing,Kiribati,93168
2011,Fishing,Marshall Islands,8823
2011,Fishing,Micronesia,43947
2011,Fishing,Nauru,12745
2011,Fishing,Niue,29
2011,Fishing,Palau,2179
2011,Fishing,Papua New Guinea,70871
2011,Fishing,Samoa,168
2011,Fishing,Solomon Islands,43200
2011,Fishing,Tokelau,799
2011,Fishing,Tonga,120
2011,Fishing,Tuvalu,10921
2011,Fishing,Vanuatu,220
2011,Others,Cook Islands,9937
2011,Others,Fiji,19297
2011,Others,Kiribati,18168
2011,Others,Marshall Islands,5420
2011,Others,Micronesia,29639
2011,Others,Nauru,2329
2011,Others,Niue,1762
2011,Others,Palau,7294
2011,Others,Papua New Guinea,41984
2011,Others,Samoa,944
2011,Others,Solomon Islands,10994
2011,Others,Tokelau,2376
2011,Others,Tonga,9263
2011,Others,Tuvalu,2330
2011,Others,Vanuatu,7067
2011,Passenger,Cook Islands,15988
2011,Passenger,Fiji,32878
2011,Passenger,Kiribati,13358
2011,Passenger,Marshall Islands,1268
2011,Passenger,Micronesia,5102
2011,Passenger,Niue,2276
2011,Passenger,Palau,782
2011,Passenger,Papua New Guinea,26280
2011,Passenger,Samoa,2352
2011,Passenger,Solomon Islands,2718
2011,Passenger,Tokelau,1979
2011,Passenger,Tonga,13166
2011,Passenger,Tuvalu,80
2011,Passenger,Vanuatu,39041
2011,Tanker,Cook Islands,12536
2011,Tanker,Fiji,36065
2011,Tanker,Kiribati,31900
2011,Tanker,Marshall Islands,17713
2011,Tanker,Micronesia,116890
2011,Tanker,Nauru,4029
2011,Tanker,Niue,4956
2011,Tanker,Palau,37043
2011,Tanker,Papua New Guinea,341432
2011,Tanker,Samoa,2494
2011,Tanker,Solomon Islands,39882
2011,Tanker,Tokelau,1555
2011,Tanker,Tonga,10775
2011,Tanker,Tuvalu,3969
2011,Tanker,Vanuatu,10431
2012,Cargo,Cook Islands,102523
2012,Cargo,Fiji,87783
2012,Cargo,Kiribati,145250
2012,Cargo,Marshall Islands,75697
2012,Cargo,Micronesia,1565420
2012,Cargo,Nauru,7448
2012,Cargo,Niue,22577
2012,Cargo,Palau,362591
2012,Cargo,Papua New Guinea,3860118
2012,Cargo,Samoa,7612
2012,Cargo,Solomon Islands,177365
2012,Cargo,Tokelau,8793
2012,Cargo,Tonga,32388
2012,Cargo,Tuvalu,20490
2012,Cargo,Vanuatu,40698
2012,Fishing,Cook Islands,1673
2012,Fishing,Fiji,1973
2012,Fishing,Kiribati,124812
2012,Fishing,Marshall Islands,14311
2012,Fishing,Micronesia,56499
2012,Fishing,Nauru,9887
2012,Fishing,Niue,91
2012,Fishing,Palau,3122
2012,Fishing,Papua New Guinea,54916
2012,Fishing,Samoa,420
2012,Fishing,Solomon Islands,22853
2012,Fishing,Tokelau,2197
2012,Fishing,Tonga,271
2012,Fishing,Tuvalu,15997
2012,Fishing,Vanuatu,610
2012,Others,Cook Islands,14855
2012,Others,Fiji,32796
2012,Others,Kiribati,35533
2012,Others,Marshall Islands,9137
2012,Others,Micronesia,39899
2012,Others,Nauru,4397
2012,Others,Niue,4293
2012,Others,Palau,6531
2012,Others,Papua New Guinea,57092
2012,Others,Samoa,2167
