Vessel Category,Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026 (Jan)
Cargo,Fiji,0.16,0.16,0.06,0.09,0.06,0.08,0.11,0.1,0.09,0.1,0.12,0.13,0.11,0.11,0.1,0.1,0.08,0.1
Cargo,Kiribati,0.23,0.2,0.24,0.12,0.13,0.1,0.07,0.16,0.13,0.09,0.08,0.16,0.22,0.13,0.07,0.16,0.1,0.27
Cargo,Marshall Islands,0.41,0.14,0.12,0.11,0.08,0.05,0.05,0.06,0.1,0.09,0.09,0.18,0.17,0.18,0.09,0.09,0.09,0.12
Cargo,Micronesia,0.39,0.18,0.12,0.1,0.09,0.11,0.13,0.1,0.09,0.14,0.18,0.26,0.24,0.24,0.17,0.16,0.13,0.13
Cargo,Nauru,0.16,0.08,0.1,0.1,0.12,0.19,0.27,0.23,0.19,0.25,0.32,0.22,0.18,0.2,0.24,0.19,0.17,0.52
Cargo,Palau,0.56,0.63,0.32,0.46,0.24,0.25,0.17,0.26,0.25,0.22,0.26,0.29,0.27,0.43,0.43,0.37,0.51,0.56
Cargo,Papua New Guinea,0.27,0.17,0.09,0.08,0.09,0.08,0.1,0.11,0.1,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
Cargo,Samoa,0.23,0.11,0.14,0.13,0.12,0.12,0.2,0.15,0.17,0.13,0.19,0.22,0.14,0.21,0.14,0.12,0.15,0.35
Cargo,Solomon Islands,0.09,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.06
Cargo,Tonga,0.25,0.13,0.15,0.23,0.15,0.25,0.26,0.32,0.15,0.16,0.2,0.17,0.15,0.24,0.31,0.38,0.41,0.24
Cargo,Tuvalu,0.54,0.42,0.35,0.26,0.45,0.25,0.09,0.2,0.15,0.14,0.18,0.39,0.38,0.34,0.16,0.18,0.18,0.34
Cargo,Vanuatu,0.31,0.16,0.13,0.15,0.14,0.18,0.24,0.21,0.19,0.2,0.19,0.18,0.27,0.24,0.15,0.13,0.11,0.18
Fishing,Fiji,0.2,0.07,0.17,0.08,0.06,0.1,0.09,0.1,0.09,0.09,0.08,0.08,0.1,0.07,0.09,0.08,0.09,0.08
Fishing,Kiribati,0.33,0.22,0.16,0.11,0.11,0.17,0.11,0.11,0.11,0.18,0.24,0.4,0.35,0.62,0.12,0.17,0.11,0.11
Fishing,Marshall Islands,0.36,0.42,0.31,0.21,0.15,0.08,0.05,0.04,0.06,0.06,0.07,0.19,0.15,0.19,0.15,0.28,0.27,0.27
Fishing,Micronesia,0.21,0.25,0.24,0.21,0.1,0.09,0.09,0.07,0.06,0.04,0.08,0.1,0.17,0.05,0.04,0.04,0.04,0.05
Fishing,Nauru,,,,,,,,,0.56,1,1,0.33,,,,,1,1
Fishing,Palau,1,0.5,0.18,0.19,0.13,0.24,0.14,0.08,0.06,0.06,0.06,0.27,0.68,0.39,0.23,0.31,0.25,
