year,month,Country,Port,HL,port call
2009,1,Fiji,Lautoka Harbor,Cargo,12
2009,1,Fiji,Lautoka Harbor,Tanker,4
2009,1,Fiji,Levuka,Tanker,1
2009,1,Fiji,Malai,Tanker,1
2009,1,Fiji,Suva Harbor,Cargo,17
2009,1,Fiji,Suva Harbor,Passenger,2
2009,1,Fiji,Suva Harbor,Tanker,2
2009,1,Kiribati,Kiribati,Cargo,2
2009,1,Kiribati,Tarawa Atoll,Tanker,1
2009,1,Marshall Islands,Ebeye,Cargo,2
2009,1,Marshall Islands,Kwajalein,Cargo,2
2009,1,Marshall Islands,Majuro Atoll,Cargo,7
2009,1,Marshall Islands,Majuro Atoll,Fishing,4
2009,1,Marshall Islands,Majuro Atoll,Tanker,2
2009,1,Micronesia,Colonia,Cargo,2
2009,1,Micronesia,Colonia,Tanker,1
2009,1,Micronesia,Lele Harbor,Cargo,1
2009,1,Micronesia,Moen,Tanker,2
2009,1,Micronesia,Pornpei Harbor,Cargo,2
2009,1,Nauru,Nauru,Cargo,1
2009,1,Nauru,Nauru,Tanker,1
2009,1,Palau,Malakal Harbor,Cargo,2
2009,1,Palau,Malakal Harbor,Tanker,1
2009,1,Papua New Guinea,Alotoa,Cargo,6
2009,1,Papua New Guinea,Alotoa,Tanker,1
2009,1,Papua New Guinea,Buka,Cargo,2
2009,1,Papua New Guinea,Daru,Cargo,2
2009,1,Papua New Guinea,Kavieng Harbor,Cargo,3
2009,1,Papua New Guinea,Kieta,Cargo,2
2009,1,Papua New Guinea,Kimbe,Cargo,8
2009,1,Papua New Guinea,Kimbe,Tanker,1
2009,1,Papua New Guinea,Lae,Cargo,40
2009,1,Papua New Guinea,Lae,Tanker,3
2009,1,Papua New Guinea,Madang,Cargo,10
2009,1,Papua New Guinea,Madang,Passenger,1
2009,1,Papua New Guinea,Madang,Tanker,2
2009,1,Papua New Guinea,Oro Bay,Cargo,2
2009,1,Papua New Guinea,Oro Bay,Tanker,1
2009,1,Papua New Guinea,Port Moresby,Cargo,42
2009,1,Papua New Guinea,Port Moresby,Tanker,7
2009,1,Papua New Guinea,Put Put,Cargo,4
2009,1,Papua New Guinea,Put Put,Tanker,1
2009,1,Papua New Guinea,Rabaul,Cargo,13
2009,1,Papua New Guinea,Rabaul,Fishing,1
2009,1,Papua New Guinea,Rabaul,Tanker,1
2009,1,Papua New Guinea,Vanimo,Cargo,5
2009,1,Papua New Guinea,Wewak Harbor,Cargo,8
2009,1,Papua New Guinea,Wewak Harbor,Fishing,2
2009,1,Samoa,Apia,Cargo,6
2009,1,Solomon Islands,Honiara,Cargo,12
2009,1,Solomon Islands,Honiara,Fishing,8
2009,1,Solomon Islands,Honiara,Passenger,1
2009,1,Solomon Islands,Port Noro,Cargo,6
2009,1,Solomon Islands,Seghe,Cargo,1
2009,1,Tonga,Nuku Alofa,Cargo,2
2009,1,Tonga,Nuku Alofa,Tanker,1
2009,1,Vanuatu,Luganville,Cargo,3
2009,1,Vanuatu,Luganville,Tanker,1
2009,1,Vanuatu,Port Vila,Cargo,5
2009,1,Vanuatu,Port Vila,Passenger,8
2009,1,Vanuatu,Port Vila,Tanker,4
2009,2,Fiji,Lautoka Harbor,Cargo,10
2009,2,Fiji,Lautoka Harbor,Passenger,1
2009,2,Fiji,Lautoka Harbor,Tanker,6
2009,2,Fiji,Malai,Tanker,1
2009,2,Fiji,Suva Harbor,Cargo,10
2009,2,Fiji,Suva Harbor,Fishing,1
2009,2,Fiji,Suva Harbor,Passenger,2
2009,2,Fiji,Suva Harbor,Tanker,2
2009,2,Kiribati,Tarawa Atoll,Tanker,1
2009,2,Marshall Islands,Ebeye,Cargo,2
2009,2,Marshall Islands,Kwajalein,Cargo,2
2009,2,Marshall Islands,Majuro Atoll,Cargo,4
2009,2,Marshall Islands,Majuro Atoll,Fishing,4
2009,2,Marshall Islands,Majuro Atoll,Tanker,1
2009,2,Micronesia,Colonia,Tanker,1
2009,2,Micronesia,Moen,Cargo,2
2009,2,Micronesia,Moen,Tanker,1
2009,2,Micronesia,Pornpei Harbor,Cargo,3
2009,2,Micronesia,Pornpei Harbor,Tanker,1
2009,2,Nauru,Nauru,Cargo,1
2009,2,Nauru,Nauru,Tanker,1
2009,2,Palau,Malakal Harbor,Cargo,3
2009,2,Palau,Malakal Harbor,Fishing,1
2009,2,Palau,Malakal Harbor,Tanker,1
2009,2,Papua New Guinea,Alotoa,Cargo,7
2009,2,Papua New Guinea,Alotoa,Tanker,1
2009,2,Papua New Guinea,Buka,Cargo,2
2009,2,Papua New Guinea,Daru,Cargo,2
2009,2,Papua New Guinea,Kavieng Harbor,Cargo,3
2009,2,Papua New Guinea,Kieta,Cargo,1
2009,2,Papua New Guinea,Kimbe,Cargo,4
2009,2,Papua New Guinea,Kimbe,Tanker,1
2009,2,Papua New Guinea,Lae,Cargo,32
2009,2,Papua New Guinea,Lae,Tanker,3
2009,2,Papua New Guinea,Madang,Cargo,7
2009,2,Papua New Guinea,Madang,Tanker,1
2009,2,Papua New Guinea,Oro Bay,Cargo,5
2009,2,Papua New Guinea,Oro Bay,Tanker,1
2009,2,Papua New Guinea,Port Moresby,Cargo,33
2009,2,Papua New Guinea,Port Moresby,Tanker,5
2009,2,Papua New Guinea,Put Put,Cargo,2
2009,2,Papua New Guinea,Put Put,Tanker,1
2009,2,Papua New Guinea,Rabaul,Cargo,9
2009,2,Papua New Guinea,Rabaul,Passenger,2
2009,2,Papua New Guinea,Rabaul,Tanker,1
2009,2,Papua New Guinea,Vanimo,Cargo,2
